nome,codigo,0-19,20-39,40-59,60-79,80+
Portugal Continental,1, 1 785 330, 2 186 070, 2 901 221, 2 378 202, 701 078
Alto Minho,111, 36 651, 46 409, 65 295, 63 148, 20 552
Cávado,112, 78 479, 100 112, 129 428, 90 808, 22 784
Ave,119, 73 176, 96 154, 129 223, 97 942, 22 994
Área Metropolitana do Porto,11A, 310 504, 402 384, 530 750, 417 215, 104 125
Alto Tâmega,11B, 11 022, 13 642, 21 765, 27 680, 9 528
Tâmega e Sousa,11C, 74 224, 96 785, 126 546, 89 636, 21 212
Douro,11D, 27 511, 34 783, 52 401, 52 472, 16 460
Terras de Trás-os-Montes,11E, 14 341, 19 520, 27 923, 33 029, 12 160
Oeste,16B, 68 759, 80 437, 109 317, 89 477, 26 677
Região de Aveiro,16D, 65 677, 82 929, 110 469, 89 643, 25 819
Região de Coimbra,16E, 70 056, 87 405, 126 519, 116 919, 39 109
Região de Leiria,16F, 50 566, 61 486, 83 787, 71 743, 22 668
Viseu Dão Lafões,16G, 41 515, 50 107, 70 519, 68 660, 22 865
Beira Baixa,16H, 11 562, 14 383, 21 609, 23 796, 9 658
Médio Tejo,16I, 37 542, 44 610, 64 131, 61 417, 23 305
Beiras e Serra da Estrela,16J, 29 263, 37 350, 55 937, 63 098, 23 790
Área Metropolitana de Lisboa,170, 572 830, 672 477, 836 076, 627 750, 182 528
Alentejo Litoral,181, 16 006, 22 247, 27 241, 24 966, 8 252
Baixo Alentejo,184, 20 404, 22 841, 32 192, 29 749, 10 269
Lezíria do Tejo,185, 43 763, 49 964, 69 907, 58 841, 19 581
Alto Alentejo,186, 17 365, 19 303, 28 977, 27 797, 11 140
Alentejo Central,187, 26 211, 30 567, 43 970, 38 188, 14 249
Algarve,150, 87 924, 100 199, 137 262, 114 248, 31 363
Ilha de Santa Maria,41, 1 106, 1 375, 1 640, 1 127, 241
Ilha de São Miguel,42, 29 438, 36 299, 41 415, 23 609, 4 485
Ilha Terceira,43, 10 062, 13 226, 16 002, 11 769, 2 487
Ilha Graciosa,44, 794, 961, 1 160, 933, 265
Ilha de São Jorge,45, 1 503, 1 905, 2 571, 1 936, 556
Ilha do Pico,46, 2 556, 3 252, 4 322, 3 196, 856
Ilha do Faial,47, 2 672, 3 273, 4 572, 3 246, 667
Ilha das Flores,48, 597, 825, 1 139, 765, 175
Ilha do Corvo,49, 70, 99, 155, 83, 20
Ilha da Madeira,31, 45 121, 54 624, 79 066, 55 710, 13 181
Ilha de Porto Santo,32, 904, 1 159, 1 769, 1 239, 211
